donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
ai-setup,assets/video/src/components/ROIStats.tsx,a12f2ed8b08a0b9f83b8cd687240d85a348aef417d0fb3ea3416f522d530a6ac,5550,tsx,typescript,ui-or-product,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/components/ScoreTransition.tsx,854165d06dda04ca62e1ccc7ae329e860150c500041008d81c1b793eb6cb43f4,6805,tsx,typescript,ui-or-product,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/components/SkillsFlow.tsx,6722cb569f3c44227f26c7278757e4f1e3d4cb7389a12d6b6e58f51ba567ccb5,5944,tsx,typescript,ui-or-product,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/components/SyncAnimation.tsx,8a58d4bfe9b77bf70bd31b76f3212038cf838edd1fab8688b0cead94500e2176,8085,tsx,typescript,ui-or-product,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/components/ToolIcons.tsx,4507480fdeda4399df36bc1cf5b052fca33a38bf2691614d9737564d0b8a9f74,8548,tsx,typescript,ui-or-product,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/components/theme.ts,d9d2b6269955d0626753dd029dbd424d706f050c6f9b9c38ebfbb2d0f23722bc,1131,ts,typescript,ui-or-product,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/src/index.ts,957e481dd33a29b4a55ae0e95dbf763b7e48c37c427ca4bd1275faf34bc07a74,109,ts,typescript,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,assets/video/tsconfig.json,3547d6e44203e37f43308c6677a65720369220d4dfd0d0a708bf8b4a4ce394e3,304,json,json,configuration,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/FLOW.md,875127f2357a5695f25e4404aca99c732527a46c482dd423ad1cf9caed022072,3931,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/plans/2026-04-29-caliber-install-audit-fixes-2.md,88cb767e6678848afa7b69149ac4902e2261f8839bdef34da25b172649440605,34223,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/plans/2026-04-29-caliber-install-audit-fixes.md,b161261da8a6bb7d9ec288c22984515e205ec6a922607f58c5bca51aef63ace5,46830,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/plans/2026-04-29-caliber-install-audit.md,3bd31359148966b09dde3ac309354f1462de1ab3c8a9c65115aeef2b3719232b,43727,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/2026-04-29-caliber-install-audit-design.md,c171a65ff1158d010b34bc7b4495d30dae2779bcee97e638c1e4315fd65b879d,9637,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/2026-04-29-caliber-install-audit-findings.md,36e52f06bfb1c8e0a0bdda6fa1c3c7906dcd350e79204f51183c0c5349ab0929,30562,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/01-install-entry-points.md,f4d877b56186a7b5388964be591e8f776632700e5075484fba3a65ed10948a20,13737,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/02-providers.md,54b8dac9d99272d4218be1e2c16ad1c2531111059bed84cc412479a51c876f4f,14924,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/03-generation-refresh-hooks.md,850ad0b9043cb74c392787e2cb767ce479218e496132289241c3121f6f18f4eb,12392,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT;CAL-HOOKS,
ai-setup,docs/superpowers/specs/audit-notes/04-closed-issues.md,8e363bf6395629736c7347bf8863d13a4fc115c402fa96762f3ef8a13caef35c,11784,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/05-preflight.md,48adf995f5c0688628fec4473115f8144dce92e70a4abf10941ca298d9f3567a,4940,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/06-test-repo-setup.md,6c278eb44b522fdda9e36d8101eb8eede7aa0b60e11adc6fc4b1e9063934482c,2616,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT;CAL-MULTI,
